昵称,性别,聊天内容,时间戳,商品,类别,主播
微***,2,有啥效果,1679536800,南瓜籽仁,零食,冬冬
黑***,0,@阿*** 冬冬去,1679536802,南瓜籽仁,零食,冬冬
像***,2,咸鸭蛋有没,1679536806,南瓜籽仁,零食,冬冬
゛***,0,哈哈哈，一辅导作业就鸡飞狗跳,1679536810,南瓜籽仁,零食,冬冬
随***,0,这个梨膏很好,1679536811,南瓜籽仁,零食,冬冬
用***,0,藕粉有吗,1679536816,南瓜籽仁,零食,冬冬
淘***,2,66666,1679536821,南瓜籽仁,零食,冬冬
微***,2,我也上手[捂脸],1679536826,南瓜籽仁,零食,冬冬
小***,2,冲自己上手嘛,1679536829,南瓜籽仁,零食,冬冬
🌈***,2,不要随便去评论别人！还是口下留善言！,1679536831,南瓜籽仁,零食,冬冬
笔***,2,圣牧牛奶哪天🈶呀？小助理,1679536832,南瓜籽仁,零食,冬冬
星***,0,有糯米笋吗？,1679536834,南瓜籽仁,零食,冬冬
T***,0,哎呦喂，没想到天下辅导人员都一样,1679536839,南瓜籽仁,零食,冬冬
爱***,0,来了,1679536842,南瓜籽仁,零食,冬冬
奧***,2,😂😂😂哈哈哈。。我也上手,1679536851,南瓜籽仁,零食,冬冬
东***,0,大家有需要的商品在小黄车里找下都已经开价，没有的就是暂无库存，不定时返场哦，具体咨询链接左下角客服哈,1679536852,南瓜籽仁,零食,冬冬
微***,2,女孩子就不一样,1679536865,南瓜籽仁,零食,冬冬
两***,2,一生气直接上手,1679536869,南瓜籽仁,零食,冬冬
用***,0,上午好,1679536869,南瓜籽仁,零食,冬冬
微***,2,要打人,1679536871,南瓜籽仁,零食,冬冬
用***,0,藕粉,1679536872,南瓜籽仁,零食,冬冬
梦***,2,[赞][赞][赞][赞][赞],1679536873,南瓜籽仁,零食,冬冬
🐷***,2,鸡蛋,1679536874,南瓜籽仁,零食,冬冬
静***,2,拍了两单,1679536876,南瓜籽仁,零食,冬冬
小***,2,[赞][赞][赞][赞][赞][赞][赞],1679536883,南瓜籽仁,零食,冬冬
岁***,2,上午好,1679536887,南瓜籽仁,零食,冬冬
奧***,2,@微*** 那是您孩子乖[呲牙],1679536889,南瓜籽仁,零食,冬冬
炸***,0,小心外甥记仇[呲牙],1679536890,南瓜籽仁,零食,冬冬
l***,0,[鼓掌],1679536891,南瓜籽仁,零食,冬冬
迎***,2,小心你姐奏你,1679536892,南瓜籽仁,零食,冬冬
屈***,2,熟的吗？,1679536909,南瓜籽仁,零食,冬冬
媛***,2,每天都是鸡飞狗跳的作业时刻[笑哭][笑哭],1679536911,南瓜籽仁,零食,冬冬
已***,0,什么时候上儿童酸奶啊,1679536913,南瓜籽仁,零食,冬冬
随***,0,冬冬是东方甄选的颜值担当,1679536914,南瓜籽仁,零食,冬冬
香***,2,[玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰],1679536919,南瓜籽仁,零食,冬冬
玖***,2,有没有牛腩啊,1679536929,南瓜籽仁,零食,冬冬
小***,2,拍手称赞,1679536929,南瓜籽仁,零食,冬冬
1***,2,[捂脸][捂脸][捂脸][捂脸][玫瑰][玫瑰],1679536929,南瓜籽仁,零食,冬冬
屈***,2,瓜子仁是熟的吗？,1679536932,南瓜籽仁,零食,冬冬
树***,2,不能到达,1679536933,南瓜籽仁,零食,冬冬
🌈***,2,这是哪位帅小伙呀？[呲牙][呲牙],1679536935,南瓜籽仁,零食,冬冬
两***,2,有人帮我管孩子随便揍[捂脸][捂脸],1679536936,南瓜籽仁,零食,冬冬
迷***,2,有菜板吗,1679536937,南瓜籽仁,零食,冬冬
福***,2,你是懂皮孩子的,1679536939,南瓜籽仁,零食,冬冬
蓝***,2,这怎么剥的,1679536940,南瓜籽仁,零食,冬冬
蓝***,2,这么多,1679536945,南瓜籽仁,零食,冬冬
东***,0,产品规格不同，大家想要了解更多商品细节看下详情页或回放了解下哦，具体咨询链接左下角客服哈,1679536945,南瓜籽仁,零食,冬冬
已***,2,南瓜籽好吃，特喜欢,1679536947,南瓜籽仁,零食,冬冬
矮***,2,南瓜子好处很多  降血压  防治心血管病  美容养颜  防治前列腺疾病,1679536950,南瓜籽仁,零食,冬冬
矮***,2,南瓜子好处很多  降血压  防治心血管病  美容养颜  防治前列腺疾病,1679536954,南瓜籽仁,零食,冬冬
w***,2,机器播的吗,1679536959,南瓜籽仁,零食,冬冬
屈***,2,是熟的吗？,1679536960,南瓜籽仁,零食,冬冬
用***,0,[赞][赞][赞][赞][赞][赞][赞][赞],1679536961,南瓜籽仁,零食,冬冬
黑***,0,超酸的时候加南瓜籽 好吃,1679536966,南瓜籽仁,零食,冬冬
矮***,2,哈哈哈哈哈哈哈,1679536966,南瓜籽仁,零食,冬冬
橙***,0,补货,1679536970,南瓜籽仁,零食,冬冬
B***,2,什么时候有牛骨,1679536970,南瓜籽仁,零食,冬冬
矮***,2,南瓜子好处很多  降血压  防治心血管病  美容养颜  防治前列腺疾病[比心][比心][比心],1679536973,南瓜籽仁,零食,冬冬
J***,0,没了没了,1679536974,南瓜籽仁,零食,冬冬
微***,2,我家孩子喜欢吃,1679536975,南瓜籽仁,零食,冬冬
用***,0,己拍南瓜仔,1679536975,南瓜籽仁,零食,冬冬
L***,2,[捂脸],1679536978,南瓜籽仁,零食,冬冬
小***,0,好像啊,1679536979,南瓜籽仁,零食,冬冬
禅***,2,嘴剥的[捂脸],1679536983,南瓜籽仁,零食,冬冬
欧***,2,冬冬是我减肥路上最大的绊脚石,1679536983,南瓜籽仁,零食,冬冬
文***,2,[捂脸][捂脸][捂脸],1679536983,南瓜籽仁,零食,冬冬
1***,1,直接吃吗,1679536984,南瓜籽仁,零食,冬冬
两***,2,三年级的娃，考试直接把试卷带回家[捂脸],1679536984,南瓜籽仁,零食,冬冬
N***,2,我以为是茶叶，进来一看瓜子[疑问],1679536986,南瓜籽仁,零食,冬冬
小***,2,大家好，我是坐面包车回家的冬冬,1679536988,南瓜籽仁,零食,冬冬
欧***,2,冬冬是我减肥路上最大的绊脚石,1679536988,南瓜籽仁,零食,冬冬
萍***,0,是炒了的吗,1679536989,南瓜籽仁,零食,冬冬
屈***,2,南瓜子仁是熟的吗？,1679536992,南瓜籽仁,零食,冬冬
虫***,0,榴莲千层有吗今天,1679536993,南瓜籽仁,零食,冬冬
禅***,2,开玩笑的,1679536993,南瓜籽仁,零食,冬冬
淘***,2,减肥路上的绊脚石,1679536997,南瓜籽仁,零食,冬冬
伶***,0,生的？,1679537000,南瓜籽仁,零食,冬冬
欧***,2,冬冬是我减肥路上最大的绊脚石,1679537000,南瓜籽仁,零食,冬冬
矮***,2,就直接吃啊,1679537000,南瓜籽仁,零食,冬冬
桃***,2,大米,1679537002,南瓜籽仁,零食,冬冬
花***,1,这个机器人声音我家孩子也很会,1679537004,南瓜籽仁,零食,冬冬
桃***,2,大米,1679537005,南瓜籽仁,零食,冬冬
矮***,2,拌酸奶也好吃[比心][比心],1679537009,南瓜籽仁,零食,冬冬
香***,2,哈哈哈嘴剥的[泪奔][泪奔][泪奔][泪奔],1679537011,南瓜籽仁,零食,冬冬
虫***,0,榴莲千层今天有吗,1679537012,南瓜籽仁,零食,冬冬
V***,2,有饭盒吗,1679537012,南瓜籽仁,零食,冬冬
大***,0,喜欢冬冬,1679537013,南瓜籽仁,零食,冬冬
易***,0,今天有百香果吗,1679537014,南瓜籽仁,零食,冬冬
珍***,2,66666,1679537015,南瓜籽仁,零食,冬冬
珍***,2,来啦,1679537019,南瓜籽仁,零食,冬冬
伶***,0,生的？,1679537019,南瓜籽仁,零食,冬冬
我***,1,好多微量元素,1679537020,南瓜籽仁,零食,冬冬
用***,0,欧莱雅小蜂蜜有没有啊,1679537022,南瓜籽仁,零食,冬冬
V***,2,今天饭盒吗,1679537022,南瓜籽仁,零食,冬冬
梦***,2,[比心][比心][比心][比心],1679537023,南瓜籽仁,零食,冬冬
小***,2,上班悄悄看看冬冬,1679537026,南瓜籽仁,零食,冬冬
小***,2,懒人福音,1679537028,南瓜籽仁,零食,冬冬
东***,0,大家有需要的商品在小黄车里找下都已经开价，没有的就是暂无库存，不定时返场哦，具体咨询链接左下角客服哈,1679537031,南瓜籽仁,零食,冬冬
矮***,2,南瓜子好处很多  降血压  防治心血管病  美容养颜  防治前列腺疾病[比心][比心],1679537032,南瓜籽仁,零食,冬冬
蓝***,2,坐那一集电视剧没看完就吃完了,1679537033,南瓜籽仁,零食,冬冬
炸***,0,有油腥味吗,1679537033,南瓜籽仁,零食,冬冬
🌈***,2,管家，你家少爷呢？,1679537034,南瓜籽仁,零食,冬冬
矮***,2,南瓜子好处很多  降血压  防治心血管病  美容养颜  防治前列腺疾病[比心][比心],1679537036,南瓜籽仁,零食,冬冬
V***,2,今天有饭盒吗主播,1679537037,南瓜籽仁,零食,冬冬
牛***,1,[赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞],1679537037,南瓜籽仁,零食,冬冬
***,2,干炒还是咸的,1679537039,南瓜籽仁,零食,冬冬
你***,2,那个虾两种规格价位不一样，区别在哪,1679537042,南瓜籽仁,零食,冬冬
陌***,1,[赞][赞][赞],1679537043,南瓜籽仁,零食,冬冬
东***,0,产品规格不同，大家想要了解更多商品细节看下详情页或回放了解下哦，具体咨询链接左下角客服哈,1679537055,南瓜籽仁,零食,冬冬
***,2,干炒还是咸的,1679537058,南瓜籽仁,零食,冬冬
傲***,2,有酥梨嘛,1679537058,南瓜籽仁,零食,冬冬
善***,2,考肠是一盒8根吧,1679537059,秋葵脆片,零食,冬冬
默***,0,管家上午好,1679537059,秋葵脆片,零食,冬冬
小***,2,是咸的吗,1679537063,秋葵脆片,零食,冬冬
如***,2,好吃[赞],1679537063,秋葵脆片,零食,冬冬
@***,2,紫米为啥会掉色啊,1679537063,秋葵脆片,零食,冬冬
微***,2,我就吃不习惯,1679537066,秋葵脆片,零食,冬冬
洋***,0,怎么肉松找不到了呢[流泪][流泪][流泪],1679537066,秋葵脆片,零食,冬冬
美***,2,[赞][赞][赞][赞][赞][赞][赞],1679537068,秋葵脆片,零食,冬冬
矮***,2,@善*** 是的,1679537068,秋葵脆片,零食,冬冬
北***,2,我太喜欢吃脆秋葵了，吃起来没什么负担,1679537078,秋葵脆片,零食,冬冬
敏***,0,秋葵有油吗？,1679537081,秋葵脆片,零食,冬冬
淘***,2,紫米会掉色？,1679537084,秋葵脆片,零食,冬冬
北***,2,@微*** 那你可以不吃哦,1679537086,秋葵脆片,零食,冬冬
一***,2,口感好,1679537086,秋葵脆片,零食,冬冬
敏***,0,是油炸的吗,1679537090,秋葵脆片,零食,冬冬
w***,0,有没有蓝莓干,1679537092,秋葵脆片,零食,冬冬
矮***,2,酥酥脆脆  可好吃,1679537096,秋葵脆片,零食,冬冬
明***,2,南瓜子会有哈喇味吗？？,1679537096,秋葵脆片,零食,冬冬
L***,2,积分兑换的劵整个购物车都能抵扣么,1679537099,秋葵脆片,零食,冬冬
🌈***,2,明少爷家的管家太帅了吧,1679537099,秋葵脆片,零食,冬冬
沁***,0,紫米富含丰富的花青素，花青素是水溶性的,1679537102,秋葵脆片,零食,冬冬
随***,0,脆秋葵就是好吃，声音嘎嘣脆,1679537104,秋葵脆片,零食,冬冬
敏***,0,是油炸的吗,1679537105,秋葵脆片,零食,冬冬
S***,0,干净又卫生,1679537108,秋葵脆片,零食,冬冬
小***,2,上火吗,1679537109,秋葵脆片,零食,冬冬
美***,2,打开就可以吃吗？,1679537119,秋葵脆片,零食,冬冬
@***,2,想买紫米，但是看了买了的评论说掉色,1679537122,秋葵脆片,零食,冬冬
小***,2,秋葵糖尿病人可以吃吗？,1679537127,秋葵脆片,零食,冬冬
玉***,2,@L*** 自营品可用,1679537130,秋葵脆片,零食,冬冬
矮***,2,我儿子就爱吃酥酥脆脆的,1679537132,秋葵脆片,零食,冬冬
花***,2,[玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰],1679537133,秋葵脆片,零食,冬冬
沁***,0,紫米富含丰富花青素，花青素是水溶性的，不是掉色不是掉色,1679537134,秋葵脆片,零食,冬冬
蓝***,2,直接吃啊,1679537134,秋葵脆片,零食,冬冬
庄***,1,冬冬吃辣条嘛,1679537142,秋葵脆片,零食,冬冬
花***,2,[玫瑰][玫瑰][玫瑰][玫瑰],1679537144,秋葵脆片,零食,冬冬
小***,2,减肥能不能吃,1679537145,秋葵脆片,零食,冬冬
花***,0,有油吗？,1679537147,秋葵脆片,零食,冬冬
三***,1,秋葵脆脆的,1679537148,秋葵脆片,零食,冬冬
敏***,0,有油吗,1679537149,秋葵脆片,零食,冬冬
冰***,2,榴莲榴莲榴莲,1679537151,秋葵脆片,零食,冬冬
A***,2,拍了,1679537152,秋葵脆片,零食,冬冬
微***,2,这样方便,1679537154,秋葵脆片,零食,冬冬
已***,2,黄秋葵好吃,1679537155,秋葵脆片,零食,冬冬
冰***,2,没找到,1679537156,秋葵脆片,零食,冬冬
淘***,2,秋葵我也喜欢,1679537156,秋葵脆片,零食,冬冬
紫***,0,有茶叶吗,1679537160,秋葵脆片,零食,冬冬
微***,2,凉拌吃,1679537160,秋葵脆片,零食,冬冬
百***,0,甜的还是咸的,1679537161,秋葵脆片,零食,冬冬
v***,0,秋葵有糖吗？,1679537161,秋葵脆片,零食,冬冬
努***,2,虾，今天下单发广西南宁，什么时候能到,1679537167,秋葵脆片,零食,冬冬
小***,0,[比心],1679537168,秋葵脆片,零食,冬冬
东***,0,产品规格不同，大家想要了解更多商品细节看下详情页或回放了解下哦，具体咨询链接左下角客服哈,1679537172,秋葵脆片,零食,冬冬
花***,0,每日坚果甄选版还有吗,1679537173,秋葵脆片,零食,冬冬
灿***,2,好吃,1679537175,秋葵脆片,零食,冬冬
东***,0,大家有需要的商品在小黄车里找下都已经开价，没有的就是暂无库存，不定时返场哦，具体咨询链接左下角客服哈,1679537177,秋葵脆片,零食,冬冬
雨***,0,这个很好吃上次买的29.9,1679537179,秋葵脆片,零食,冬冬
蓦***,0,甜的还是咸的？,1679537179,秋葵脆片,零食,冬冬
星***,2,冬冬大湾区是单播还是双播,1679537180,秋葵脆片,零食,冬冬
风***,2,鸡脯肉没有吗,1679537180,秋葵脆片,零食,冬冬
阿***,2,婴幼儿能吃吗,1679537183,秋葵脆片,零食,冬冬
小***,2,冬冬 你要看镜头 眼神别飘[呲牙],1679537185,秋葵脆片,零食,冬冬
东***,0,大家有需要的商品在小黄车里找下都已经开价，没有的就是暂无库存，不定时返场哦，具体咨询链接左下角客服哈,1679537188,秋葵脆片,零食,冬冬
出***,2,里面是单独包装的吗,1679537189,秋葵脆片,零食,冬冬
龙***,0,这样做的没有营养,1679537190,秋葵脆片,零食,冬冬
矮***,2,配料表很干净,1679537190,秋葵脆片,零食,冬冬
丫***,2,中午好中午好中午好,1679537191,秋葵脆片,零食,冬冬
蓝***,2,脆脆的,1679537196,秋葵脆片,零食,冬冬
淼***,0,脆脆的,1679537197,秋葵脆片,零食,冬冬
爱***,0,专业，我还不知道秋葵分黄绿,1679537198,秋葵脆片,零食,冬冬
努***,2,今天下单虾，什么时候能到，发广西南宁,1679537198,秋葵脆片,零食,冬冬
星***,2,冬冬大湾区是单播还是双播,1679537199,秋葵脆片,零食,冬冬
用***,0,看下配料表,1679537202,秋葵脆片,零食,冬冬
东***,0,产品规格不同，大家想要了解更多商品细节看下详情页或回放了解下哦，具体咨询链接左下角客服哈,1679537203,秋葵脆片,零食,冬冬
已***,2,这个好吃，上次买的多少钱搞忘了,1679537205,秋葵脆片,零食,冬冬
💕***,2,棕榈油还健康，疯了吧！,1679537206,秋葵脆片,零食,冬冬
兔***,2,拍了,1679537211,秋葵脆片,零食,冬冬
嗨***,0,支持主播，下了四单,1679537213,秋葵脆片,零食,冬冬
华***,0,有猕猴桃吗,1679537214,秋葵脆片,零食,冬冬
矮***,2,@💕*** ？？,1679537214,秋葵脆片,零食,冬冬
出***,2,里面是单独包装那种吗,1679537215,秋葵脆片,零食,冬冬
树***,2,油炸的吗,1679537217,秋葵脆片,零食,冬冬
微***,2,很脆吗,1679537218,秋葵脆片,零食,冬冬
小***,2,上车,1679537219,秋葵脆片,零食,冬冬
爱***,2,已拍,1679537220,秋葵脆片,零食,冬冬
东***,0,产品规格不同，大家想要了解更多商品细节看下详情页或回放了解下哦，具体咨询链接左下角客服哈,1679537220,秋葵脆片,零食,冬冬
荔***,2,番茄怎么没了啊,1679537221,秋葵脆片,零食,冬冬
用***,0,配料表,1679537221,秋葵脆片,零食,冬冬
龙***,0,这个不健康,1679537221,秋葵脆片,零食,冬冬
***,2,南瓜子是干炒的还是五香咸的,1679537225,秋葵脆片,零食,冬冬
踏***,2,虾尾介绍了没？,1679537226,秋葵脆片,零食,冬冬
荔***,2,还想买番茄,1679537227,秋葵脆片,零食,冬冬
龙***,0,能不能别什么都卖,1679537231,秋葵脆片,零食,冬冬
小***,2,看一下效果,1679537232,秋葵脆片,零食,冬冬
用***,0,脂肪含量,1679537235,秋葵脆片,零食,冬冬
淡***,0,早上好,1679537237,秋葵脆片,零食,冬冬
嗨***,0,支持主播，下了四单,1679537237,秋葵脆片,零食,冬冬
W***,2,配件表能看吗,1679537237,秋葵脆片,零食,冬冬
东***,0,大家有需要的商品在小黄车里找下都已经开价，没有的就是暂无库存，不定时返场哦，具体咨询链接左下角客服哈,1679537238,秋葵脆片,零食,冬冬
一***,2,[玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰],1679537239,秋葵脆片,零食,冬冬
★***,2,没有了,1679537240,秋葵脆片,零食,冬冬
～***,2,没了,1679537240,秋葵脆片,零食,冬冬
D***,2,秋葵,1679537244,秋葵脆片,零食,冬冬
W***,2,配料表能看吗,1679537244,秋葵脆片,零食,冬冬
颖***,2,没有了,1679537245,秋葵脆片,零食,冬冬
东***,0,产品规格不同，大家想要了解更多商品细节看下详情页或回放了解下哦，具体咨询链接左下角客服哈,1679537246,秋葵脆片,零食,冬冬
羽***,2,导演想尝一尝,1679537247,秋葵脆片,零食,冬冬
🐨***,2,看下梨,1679537247,秋葵脆片,零食,冬冬
用***,0,没有了,1679537247,秋葵脆片,零食,冬冬
果***,2,没啦,1679537250,秋葵脆片,零食,冬冬
傲***,2,有酥梨嘛,1679537251,秋葵脆片,零食,冬冬
易***,0,百香果有吗,1679537251,秋葵脆片,零食,冬冬
X***,2,鸡胸肉有嘛,1679537252,秋葵脆片,零食,冬冬
矮***,2,朋友们按需购买  不用杠！！,1679537252,秋葵脆片,零食,冬冬
D***,2,秋葵没了🤣🤣🤣,1679537253,秋葵脆片,零食,冬冬
小***,2,配料表,1679537253,秋葵脆片,零食,冬冬
听***,2,虾在哪里呢？,1679537253,秋葵脆片,零食,冬冬
J***,1,没在东方甄选买过，感觉不是很优惠,1679537254,秋葵脆片,零食,冬冬
藜***,0,南瓜子加急,1679537254,秋葵脆片,零食,冬冬
L***,2,没了,1679537254,秋葵脆片,零食,冬冬
华***,0,有猕猴桃吗,1679537254,秋葵脆片,零食,冬冬
龙***,0,先去搞懂营养,1679537255,秋葵脆片,零食,冬冬
傲***,2,有酥梨嘛,1679537259,秋葵脆片,零食,冬冬
东***,0,大家有需要的商品在小黄车里找下都已经开价，没有的就是暂无库存，不定时返场哦，具体咨询链接左下角客服哈,1679537263,秋葵脆片,零食,冬冬
林***,0,上午好,1679537263,秋葵脆片,零食,冬冬
張***,2,[赞],1679537264,秋葵脆片,零食,冬冬
努***,2,今天下单虾，什么时候能到，广西,1679537264,秋葵脆片,零食,冬冬
旭***,2,今天有铁锅吗？,1679537264,秋葵脆片,零食,冬冬
D***,2,我要秋葵,1679537264,秋葵脆片,零食,冬冬
傲***,2,有酥梨嘛,1679537264,秋葵脆片,零食,冬冬
用***,0,没有了,1679537265,秋葵脆片,零食,冬冬
丛***,1,主播上午好,1679537266,秋葵脆片,零食,冬冬
z***,0,猕猴桃今天有吗,1679537269,秋葵脆片,零食,冬冬
小***,2,上的苹果吧,1679537270,秋葵脆片,零食,冬冬
易***,0,百香果有吗,1679537270,秋葵脆片,零食,冬冬
傲***,2,有酥梨嘛,1679537274,秋葵脆片,零食,冬冬
可***,2,买了电饼档,1679537275,秋葵脆片,零食,冬冬
姜***,1,哈尔滨的啥时候能买到虾？？？？,1679537276,秋葵脆片,零食,冬冬
东***,0,@努*** 物流问题咨询下对应商品左下角客服哈,1679537279,茶叶,食品,冬冬
阿***,2,一分钱一分货,1679537280,茶叶,食品,冬冬
枞***,0,东东无奈[捂脸],1679537281,茶叶,食品,冬冬
蓝***,2,好品,1679537284,茶叶,食品,冬冬
滔***,0,怎么没有水果了,1679537284,茶叶,食品,冬冬
小***,2,有没有苹果？,1679537284,茶叶,食品,冬冬
用***,0,什么时候直播,1679537287,茶叶,食品,冬冬
嗨***,0,支持冬冬，下了四单,1679537288,茶叶,食品,冬冬
菲***,0,冬冬乖巧,1679537289,茶叶,食品,冬冬
D***,2,燕耳还有吗,1679537290,茶叶,食品,冬冬
旭***,2,今天有铁锅吗？,1679537292,茶叶,食品,冬冬
一***,2,冬冬无奈,1679537292,茶叶,食品,冬冬
菲***,0,哈哈哈哈哈,1679537294,茶叶,食品,冬冬
🐨***,2,梨,1679537294,茶叶,食品,冬冬
王***,2,是油炸？,1679537295,茶叶,食品,冬冬
🐚***,2,酸奶有吗？,1679537299,茶叶,食品,冬冬
傲***,2,今天有酥梨吗,1679537300,茶叶,食品,冬冬
D***,2,燕耳还有吗,1679537301,茶叶,食品,冬冬
小***,2,支持你们,1679537302,茶叶,食品,冬冬
听***,2,有虾吗,1679537302,茶叶,食品,冬冬
东***,0,大家有需要的商品在小黄车里找下都已经开价，没有的就是暂无库存，不定时返场哦，具体咨询链接左下角客服哈,1679537302,茶叶,食品,冬冬
用***,0,什么时候直播,1679537303,茶叶,食品,冬冬
用***,1,这主播说话老重复,1679537305,茶叶,食品,冬冬
菲***,0,过于乖巧了吧冬冬,1679537306,茶叶,食品,冬冬
ヾ***,2,今天有什么水果？,1679537307,茶叶,食品,冬冬
任***,0,打印机有吗？,1679537311,茶叶,食品,冬冬
小***,0,东东介绍一下葛根粉,1679537311,茶叶,食品,冬冬
明***,2,南瓜子会有蛤啦味吗？？？？,1679537311,茶叶,食品,冬冬
🌈***,2,芝麻还有吗,1679537313,茶叶,食品,冬冬
矮***,2,@用*** 你报警吧,1679537313,茶叶,食品,冬冬
用***,0,千层榴莲还有吗？,1679537313,茶叶,食品,冬冬
吴***,0,粑粑柑还有吗,1679537314,茶叶,食品,冬冬
易***,0,百香果有吗,1679537314,茶叶,食品,冬冬
听***,2,有虾吗,1679537315,茶叶,食品,冬冬
简***,2,砂锅今天有没,1679537317,茶叶,食品,冬冬
小***,0,喜欢东方甄选，能买到各地好吃的,1679537317,茶叶,食品,冬冬
东***,0,产品规格不同，大家想要了解更多商品细节看下详情页或回放了解下哦，具体咨询链接左下角客服哈,1679537317,茶叶,食品,冬冬
北***,2,@J*** 你没必要哦，善语结善缘,1679537318,茶叶,食品,冬冬
御***,2,支持你们,1679537320,茶叶,食品,冬冬
林***,0,冬冬老师上午好,1679537320,茶叶,食品,冬冬
执***,0,生活号今天几点开播？,1679537320,茶叶,食品,冬冬
靠***,1,上午好,1679537321,茶叶,食品,冬冬
内***,0,一个月吗,1679537321,茶叶,食品,冬冬
微***,2,都是没见过的,1679537322,茶叶,食品,冬冬
我***,2,哪些是自营,1679537322,茶叶,食品,冬冬
用***,0,什么时候直播,1679537325,茶叶,食品,冬冬
生***,2,橙子有吗,1679537327,茶叶,食品,冬冬
北***,2,大家跟着主播直播顺序来，其他商品可以查看小黄车，开价的都可以拍，过了的有讲解回放可以看,1679537329,茶叶,食品,冬冬
生***,2,橙子,1679537332,茶叶,食品,冬冬
蓝***,2,就是,1679537332,茶叶,食品,冬冬
听***,2,有虾吗,1679537333,茶叶,食品,冬冬
才***,2,什么时候介绍到空气炸锅[呲牙],1679537336,茶叶,食品,冬冬
旭***,2,铁锅今天有吗？,1679537336,茶叶,食品,冬冬
兜***,0,葛根粉含糖吗？,1679537338,茶叶,食品,冬冬
D***,2,燕耳还有吗,1679537339,茶叶,食品,冬冬
用***,0,什么时候直播,1679537339,茶叶,食品,冬冬
生***,2,血橙,1679537340,茶叶,食品,冬冬
眼***,2,理解你东东,1679537340,茶叶,食品,冬冬
🌈***,2,削皮刀,1679537341,茶叶,食品,冬冬
我***,2,冬冬棒棒哒[赞],1679537345,茶叶,食品,冬冬
简***,2,砂锅今天还上不,1679537345,茶叶,食品,冬冬
淘***,2,虾还有吗,1679537345,茶叶,食品,冬冬
梦***,2,[赞][赞][赞][赞],1679537346,茶叶,食品,冬冬
ヾ***,2,今天有什么水果？,1679537347,茶叶,食品,冬冬
梦***,2,[调皮],1679537349,茶叶,食品,冬冬
东***,0,大家有需要的商品在小黄车里找下都已经开价，没有的就是暂无库存，不定时返场哦，具体咨询链接左下角客服哈,1679537350,茶叶,食品,冬冬
吳***,2,去皮神奇加点,1679537350,茶叶,食品,冬冬
小***,0,东方介绍一下葛根粉,1679537351,茶叶,食品,冬冬
减***,0,大家各方面都有需要，我感觉各方面都挺好的，大家各取所需啦,1679537354,茶叶,食品,冬冬
那***,2,冬冬好乖[呲牙][呲牙][呲牙][呲牙][呲牙],1679537358,茶叶,食品,冬冬
🌈***,2,保护冬冬！！！,1679537359,茶叶,食品,冬冬
用***,0,[玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰],1679537360,茶叶,食品,冬冬
小***,2,我就是新进的，没听全,1679537361,茶叶,食品,冬冬
兜***,0,葛根粉含糖吗？,1679537362,茶叶,食品,冬冬
兰***,2,好茶,1679537362,茶叶,食品,冬冬
馨***,2,有牛奶吗,1679537364,茶叶,食品,冬冬
z***,2,今天买的3040的虾比我在其他直播间买的多大了[赞][赞][赞],1679537364,茶叶,食品,冬冬
两***,2,[赞][赞][赞][赞],1679537372,茶叶,食品,冬冬
吳***,2,去皮神器加点库存，谢谢！,1679537373,茶叶,食品,冬冬
紫***,0,买了,1679537375,茶叶,食品,冬冬
念***,2,[赞][赞][赞],1679537375,茶叶,食品,冬冬
凯***,2,冬冬棒棒哒,1679537380,茶叶,食品,冬冬
P***,0,[比心][比心][比心][比心],1679537381,茶叶,食品,冬冬
小***,1,咖啡上点,1679537381,茶叶,食品,冬冬
🌈***,2,大家按需购买就好了，干嘛要说冬冬,1679537384,茶叶,食品,冬冬
郑***,2,郑州咋不能发货,1679537385,茶叶,食品,冬冬
意***,2,2号配料表能看看吗？,1679537385,茶叶,食品,冬冬
辰***,2,9号虾是多少重量啊,1679537387,茶叶,食品,冬冬
小***,1,上点咖啡,1679537391,茶叶,食品,冬冬
意***,2,2号配料表能看看吗？,1679537392,茶叶,食品,冬冬
东***,0,产品规格不同，大家想要了解更多商品细节看下详情页或回放了解下哦，具体咨询链接左下角客服哈,1679537393,茶叶,食品,冬冬
昊***,2,小熊绞肉机有吗,1679537398,茶叶,食品,冬冬
郑***,2,郑州咋不能发货,1679537402,茶叶,食品,冬冬
意***,2,2号配料表能看看吗？,1679537404,茶叶,食品,冬冬
小***,1,上点咖啡,1679537405,茶叶,食品,冬冬
馨***,2,有蒙牛或者伊利牛奶吗,1679537405,茶叶,食品,冬冬
香***,2,[玫瑰][玫瑰][玫瑰][玫瑰][玫瑰],1679537409,茶叶,食品,冬冬
泰***,1,红茶有吗,1679537409,茶叶,食品,冬冬
东***,0,产品规格不同，大家想要了解更多商品细节看下详情页或回放了解下哦，具体咨询链接左下角客服哈,1679537415,茶叶,食品,冬冬
简***,2,这个手，好看,1679537418,茶叶,食品,冬冬
鑫***,2,有没有回甘,1679537419,茶叶,食品,冬冬
