昵称,性别,聊天内容,时间戳,标准时间,商品,类别,是否讲故事
z***,2,冬冬还知道辅导作业用喊的[捂脸],1679536799,2145/12/3 9:59,南瓜籽仁,零食,1
微***,2,有啥效果,1679536800,2145/12/3 10:00,南瓜籽仁,零食,1
黑***,0,@阿*** 冬冬去,1679536802,2145/12/3 10:00,南瓜籽仁,零食,1
像***,2,咸鸭蛋有没,1679536806,2145/12/3 10:00,南瓜籽仁,零食,1
゛***,0,哈哈哈，一辅导作业就鸡飞狗跳,1679536810,2145/12/3 10:00,南瓜籽仁,零食,1
随***,0,这个梨膏很好,1679536811,2145/12/3 10:00,南瓜籽仁,零食,1
用***,0,藕粉有吗,1679536816,2145/12/3 10:00,南瓜籽仁,零食,1
淘***,2,66666,1679536821,2145/12/3 10:00,南瓜籽仁,零食,1
微***,2,我也上手[捂脸],1679536826,2145/12/3 10:00,南瓜籽仁,零食,0
小***,2,冲自己上手嘛,1679536829,2145/12/3 10:00,南瓜籽仁,零食,0
??***,2,不要随便去评论别人！还是口下留善言！,1679536831,2145/12/3 10:00,南瓜籽仁,零食,0
笔***,2,圣牧牛奶哪天??呀？小助理,1679536832,2145/12/3 10:00,南瓜籽仁,零食,0
星***,0,有糯米笋吗？,1679536834,2145/12/3 10:00,南瓜籽仁,零食,0
T***,0,哎呦喂，没想到天下辅导人员都一样,1679536839,2145/12/3 10:00,南瓜籽仁,零食,1
爱***,0,来了,1679536842,2145/12/3 10:00,南瓜籽仁,零食,1
奧***,2,??????哈哈哈。。我也上手,1679536851,2145/12/3 10:00,南瓜籽仁,零食,1
东***,0,大家有需要的商品在小黄车里找下都已经开价，没有的就是暂无库存，不定时返场哦，具体咨询链接左下角客服哈,1679536852,2145/12/3 10:00,南瓜籽仁,零食,1
微***,2,女孩子就不一样,1679536865,2145/12/3 10:01,南瓜籽仁,零食,1
两***,2,一生气直接上手,1679536869,2145/12/3 10:01,南瓜籽仁,零食,1
用***,0,上午好,1679536869,2145/12/3 10:01,南瓜籽仁,零食,1
微***,2,要打人,1679536871,2145/12/3 10:01,南瓜籽仁,零食,1
用***,0,藕粉,1679536872,2145/12/3 10:01,南瓜籽仁,零食,0
梦***,2,[赞][赞][赞][赞][赞],1679536873,2145/12/3 10:01,南瓜籽仁,零食,0
??***,2,鸡蛋,1679536874,2145/12/3 10:01,南瓜籽仁,零食,0
静***,2,拍了两单,1679536876,2145/12/3 10:01,南瓜籽仁,零食,0
小***,2,[赞][赞][赞][赞][赞][赞][赞],1679536883,2145/12/3 10:01,南瓜籽仁,零食,0
岁***,2,上午好,1679536887,2145/12/3 10:01,南瓜籽仁,零食,0
奧***,2,@微*** 那是您孩子乖[呲牙],1679536889,2145/12/3 10:01,南瓜籽仁,零食,0
炸***,0,小心外甥记仇[呲牙],1679536890,2145/12/3 10:01,南瓜籽仁,零食,0
l***,0,[鼓掌],1679536891,2145/12/3 10:01,南瓜籽仁,零食,0
迎***,2,小心你姐奏你,1679536892,2145/12/3 10:01,南瓜籽仁,零食,0
屈***,2,熟的吗？,1679536909,2145/12/3 10:01,南瓜籽仁,零食,0
媛***,2,每天都是鸡飞狗跳的作业时刻[笑哭][笑哭],1679536911,2145/12/3 10:01,南瓜籽仁,零食,0
已***,0,什么时候上儿童酸奶啊,1679536913,2145/12/3 10:01,南瓜籽仁,零食,0
随***,0,冬冬是东方甄选的颜值担当,1679536914,2145/12/3 10:01,南瓜籽仁,零食,0
香***,2,[玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰],1679536919,2145/12/3 10:01,南瓜籽仁,零食,0
玖***,2,有没有牛腩啊,1679536929,2145/12/3 10:02,南瓜籽仁,零食,0
小***,2,拍手称赞,1679536929,2145/12/3 10:02,南瓜籽仁,零食,0
1***,2,[捂脸][捂脸][捂脸][捂脸][玫瑰][玫瑰],1679536929,2145/12/3 10:02,南瓜籽仁,零食,0
屈***,2,瓜子仁是熟的吗？,1679536932,2145/12/3 10:02,南瓜籽仁,零食,0
树***,2,不能到达,1679536933,2145/12/3 10:02,南瓜籽仁,零食,0
??***,2,这是哪位帅小伙呀？[呲牙][呲牙],1679536935,2145/12/3 10:02,南瓜籽仁,零食,0
两***,2,有人帮我管孩子随便揍[捂脸][捂脸],1679536936,2145/12/3 10:02,南瓜籽仁,零食,0
迷***,2,有菜板吗,1679536937,2145/12/3 10:02,南瓜籽仁,零食,0
福***,2,你是懂皮孩子的,1679536939,2145/12/3 10:02,南瓜籽仁,零食,0
蓝***,2,这怎么剥的,1679536940,2145/12/3 10:02,南瓜籽仁,零食,0
蓝***,2,这么多,1679536945,2145/12/3 10:02,南瓜籽仁,零食,0
东***,0,产品规格不同，大家想要了解更多商品细节看下详情页或回放了解下哦，具体咨询链接左下角客服哈,1679536945,2145/12/3 10:02,南瓜籽仁,零食,0
已***,2,南瓜籽好吃，特喜欢,1679536947,2145/12/3 10:02,南瓜籽仁,零食,0
矮***,2,南瓜子好处很多  降血压  防治心血管病  美容养颜  防治前列腺疾病,1679536950,2145/12/3 10:02,南瓜籽仁,零食,0
矮***,2,南瓜子好处很多  降血压  防治心血管病  美容养颜  防治前列腺疾病,1679536954,2145/12/3 10:02,南瓜籽仁,零食,0
w***,2,机器播的吗,1679536959,2145/12/3 10:02,南瓜籽仁,零食,0
屈***,2,是熟的吗？,1679536960,2145/12/3 10:02,南瓜籽仁,零食,0
用***,0,[赞][赞][赞][赞][赞][赞][赞][赞],1679536961,2145/12/3 10:02,南瓜籽仁,零食,0
黑***,0,超酸的时候加南瓜籽 好吃,1679536966,2145/12/3 10:02,南瓜籽仁,零食,0
矮***,2,哈哈哈哈哈哈哈,1679536966,2145/12/3 10:02,南瓜籽仁,零食,0
橙***,0,补货,1679536970,2145/12/3 10:02,南瓜籽仁,零食,0
B***,2,什么时候有牛骨,1679536970,2145/12/3 10:02,南瓜籽仁,零食,0
矮***,2,南瓜子好处很多  降血压  防治心血管病  美容养颜  防治前列腺疾病[比心][比心][比心],1679536973,2145/12/3 10:02,南瓜籽仁,零食,0
J***,0,没了没了,1679536974,2145/12/3 10:02,南瓜籽仁,零食,0
微***,2,我家孩子喜欢吃,1679536975,2145/12/3 10:02,南瓜籽仁,零食,0
用***,0,己拍南瓜仔,1679536975,2145/12/3 10:02,南瓜籽仁,零食,0
L***,2,[捂脸],1679536978,2145/12/3 10:02,南瓜籽仁,零食,0
小***,0,好像啊,1679536979,2145/12/3 10:02,南瓜籽仁,零食,0
禅***,2,嘴剥的[捂脸],1679536983,2145/12/3 10:03,南瓜籽仁,零食,0
欧***,2,冬冬是我减肥路上最大的绊脚石,1679536983,2145/12/3 10:03,南瓜籽仁,零食,0
文***,2,[捂脸][捂脸][捂脸],1679536983,2145/12/3 10:03,南瓜籽仁,零食,0
1***,1,直接吃吗,1679536984,2145/12/3 10:03,南瓜籽仁,零食,0
两***,2,三年级的娃，考试直接把试卷带回家[捂脸],1679536984,2145/12/3 10:03,南瓜籽仁,零食,0
N***,2,我以为是茶叶，进来一看瓜子[疑问],1679536986,2145/12/3 10:03,南瓜籽仁,零食,0
小***,2,大家好，我是坐面包车回家的冬冬,1679536988,2145/12/3 10:03,南瓜籽仁,零食,0
欧***,2,冬冬是我减肥路上最大的绊脚石,1679536988,2145/12/3 10:03,南瓜籽仁,零食,0
萍***,0,是炒了的吗,1679536989,2145/12/3 10:03,南瓜籽仁,零食,0
屈***,2,南瓜子仁是熟的吗？,1679536992,2145/12/3 10:03,南瓜籽仁,零食,0
虫***,0,榴莲千层有吗今天,1679536993,2145/12/3 10:03,南瓜籽仁,零食,0
禅***,2,开玩笑的,1679536993,2145/12/3 10:03,南瓜籽仁,零食,0
淘***,2,减肥路上的绊脚石,1679536997,2145/12/3 10:03,南瓜籽仁,零食,0
伶***,0,生的？,1679537000,2145/12/3 10:03,南瓜籽仁,零食,0
欧***,2,冬冬是我减肥路上最大的绊脚石,1679537000,2145/12/3 10:03,南瓜籽仁,零食,0
矮***,2,就直接吃啊,1679537000,2145/12/3 10:03,南瓜籽仁,零食,0
桃***,2,大米,1679537002,2145/12/3 10:03,南瓜籽仁,零食,0
花***,1,这个机器人声音我家孩子也很会,1679537004,2145/12/3 10:03,南瓜籽仁,零食,0
桃***,2,大米,1679537005,2145/12/3 10:03,南瓜籽仁,零食,0
矮***,2,拌酸奶也好吃[比心][比心],1679537009,2145/12/3 10:03,南瓜籽仁,零食,0
香***,2,哈哈哈嘴剥的[泪奔][泪奔][泪奔][泪奔],1679537011,2145/12/3 10:03,南瓜籽仁,零食,0
虫***,0,榴莲千层今天有吗,1679537012,2145/12/3 10:03,南瓜籽仁,零食,0
V***,2,有饭盒吗,1679537012,2145/12/3 10:03,南瓜籽仁,零食,0
大***,0,喜欢冬冬,1679537013,2145/12/3 10:03,南瓜籽仁,零食,0
易***,0,今天有百香果吗,1679537014,2145/12/3 10:03,南瓜籽仁,零食,0
珍***,2,66666,1679537015,2145/12/3 10:03,南瓜籽仁,零食,0
珍***,2,来啦,1679537019,2145/12/3 10:03,南瓜籽仁,零食,0
伶***,0,生的？,1679537019,2145/12/3 10:03,南瓜籽仁,零食,0
我***,1,好多微量元素,1679537020,2145/12/3 10:03,南瓜籽仁,零食,0
用***,0,欧莱雅小蜂蜜有没有啊,1679537022,2145/12/3 10:03,南瓜籽仁,零食,0
V***,2,今天饭盒吗,1679537022,2145/12/3 10:03,南瓜籽仁,零食,0
梦***,2,[比心][比心][比心][比心],1679537023,2145/12/3 10:03,南瓜籽仁,零食,0
小***,2,上班悄悄看看冬冬,1679537026,2145/12/3 10:03,南瓜籽仁,零食,0
小***,2,懒人福音,1679537028,2145/12/3 10:03,南瓜籽仁,零食,0
东***,0,大家有需要的商品在小黄车里找下都已经开价，没有的就是暂无库存，不定时返场哦，具体咨询链接左下角客服哈,1679537031,2145/12/3 10:03,南瓜籽仁,零食,0
矮***,2,南瓜子好处很多  降血压  防治心血管病  美容养颜  防治前列腺疾病[比心][比心],1679537032,2145/12/3 10:03,南瓜籽仁,零食,0
蓝***,2,坐那一集电视剧没看完就吃完了,1679537033,2145/12/3 10:03,南瓜籽仁,零食,0
炸***,0,有油腥味吗,1679537033,2145/12/3 10:03,南瓜籽仁,零食,0
??***,2,管家，你家少爷呢？,1679537034,2145/12/3 10:03,南瓜籽仁,零食,0
矮***,2,南瓜子好处很多  降血压  防治心血管病  美容养颜  防治前列腺疾病[比心][比心],1679537036,2145/12/3 10:03,南瓜籽仁,零食,0
V***,2,今天有饭盒吗主播,1679537037,2145/12/3 10:03,南瓜籽仁,零食,0
牛***,1,[赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞],1679537037,2145/12/3 10:03,南瓜籽仁,零食,0
***,2,干炒还是咸的,1679537039,2145/12/3 10:03,南瓜籽仁,零食,0
你***,2,那个虾两种规格价位不一样，区别在哪,1679537042,2145/12/3 10:04,南瓜籽仁,零食,0
陌***,1,[赞][赞][赞],1679537043,2145/12/3 10:04,南瓜籽仁,零食,0
东***,0,产品规格不同，大家想要了解更多商品细节看下详情页或回放了解下哦，具体咨询链接左下角客服哈,1679537055,2145/12/3 10:04,南瓜籽仁,零食,0
***,2,干炒还是咸的,1679537058,2145/12/3 10:04,南瓜籽仁,零食,0
傲***,2,有酥梨嘛,1679537058,2145/12/3 10:04,南瓜籽仁,零食,0
善***,2,考肠是一盒8根吧,1679537059,2145/12/3 10:04,秋葵脆片,零食,0
默***,0,管家上午好,1679537059,2145/12/3 10:04,秋葵脆片,零食,0
小***,2,是咸的吗,1679537063,2145/12/3 10:04,秋葵脆片,零食,0
如***,2,好吃[赞],1679537063,2145/12/3 10:04,秋葵脆片,零食,0
@***,2,紫米为啥会掉色啊,1679537063,2145/12/3 10:04,秋葵脆片,零食,0
微***,2,我就吃不习惯,1679537066,2145/12/3 10:04,秋葵脆片,零食,0
洋***,0,怎么肉松找不到了呢[流泪][流泪][流泪],1679537066,2145/12/3 10:04,秋葵脆片,零食,0
美***,2,[赞][赞][赞][赞][赞][赞][赞],1679537068,2145/12/3 10:04,秋葵脆片,零食,0
矮***,2,@善*** 是的,1679537068,2145/12/3 10:04,秋葵脆片,零食,0
北***,2,我太喜欢吃脆秋葵了，吃起来没什么负担,1679537078,2145/12/3 10:04,秋葵脆片,零食,0
敏***,0,秋葵有油吗？,1679537081,2145/12/3 10:04,秋葵脆片,零食,0
淘***,2,紫米会掉色？,1679537084,2145/12/3 10:04,秋葵脆片,零食,0
北***,2,@微*** 那你可以不吃哦,1679537086,2145/12/3 10:04,秋葵脆片,零食,0
一***,2,口感好,1679537086,2145/12/3 10:04,秋葵脆片,零食,0
敏***,0,是油炸的吗,1679537090,2145/12/3 10:04,秋葵脆片,零食,0
w***,0,有没有蓝莓干,1679537092,2145/12/3 10:04,秋葵脆片,零食,0
矮***,2,酥酥脆脆  可好吃,1679537096,2145/12/3 10:04,秋葵脆片,零食,0
明***,2,南瓜子会有哈喇味吗？？,1679537096,2145/12/3 10:04,秋葵脆片,零食,0
L***,2,积分兑换的劵整个购物车都能抵扣么,1679537099,2145/12/3 10:04,秋葵脆片,零食,0
??***,2,明少爷家的管家太帅了吧,1679537099,2145/12/3 10:04,秋葵脆片,零食,0
沁***,0,紫米富含丰富的花青素，花青素是水溶性的,1679537102,2145/12/3 10:05,秋葵脆片,零食,0
随***,0,脆秋葵就是好吃，声音嘎嘣脆,1679537104,2145/12/3 10:05,秋葵脆片,零食,0
敏***,0,是油炸的吗,1679537105,2145/12/3 10:05,秋葵脆片,零食,0
S***,0,干净又卫生,1679537108,2145/12/3 10:05,秋葵脆片,零食,0
小***,2,上火吗,1679537109,2145/12/3 10:05,秋葵脆片,零食,0
美***,2,打开就可以吃吗？,1679537119,2145/12/3 10:05,秋葵脆片,零食,0
@***,2,想买紫米，但是看了买了的评论说掉色,1679537122,2145/12/3 10:05,秋葵脆片,零食,0
小***,2,秋葵糖尿病人可以吃吗？,1679537127,2145/12/3 10:05,秋葵脆片,零食,0
玉***,2,@L*** 自营品可用,1679537130,2145/12/3 10:05,秋葵脆片,零食,0
矮***,2,我儿子就爱吃酥酥脆脆的,1679537132,2145/12/3 10:05,秋葵脆片,零食,0
花***,2,[玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰],1679537133,2145/12/3 10:05,秋葵脆片,零食,0
沁***,0,紫米富含丰富花青素，花青素是水溶性的，不是掉色不是掉色,1679537134,2145/12/3 10:05,秋葵脆片,零食,0
蓝***,2,直接吃啊,1679537134,2145/12/3 10:05,秋葵脆片,零食,0
庄***,1,冬冬吃辣条嘛,1679537142,2145/12/3 10:05,秋葵脆片,零食,0
花***,2,[玫瑰][玫瑰][玫瑰][玫瑰],1679537144,2145/12/3 10:05,秋葵脆片,零食,0
小***,2,减肥能不能吃,1679537145,2145/12/3 10:05,秋葵脆片,零食,0
花***,0,有油吗？,1679537147,2145/12/3 10:05,秋葵脆片,零食,0
三***,1,秋葵脆脆的,1679537148,2145/12/3 10:05,秋葵脆片,零食,0
敏***,0,有油吗,1679537149,2145/12/3 10:05,秋葵脆片,零食,0
冰***,2,榴莲榴莲榴莲,1679537151,2145/12/3 10:05,秋葵脆片,零食,0
A***,2,拍了,1679537152,2145/12/3 10:05,秋葵脆片,零食,0
微***,2,这样方便,1679537154,2145/12/3 10:05,秋葵脆片,零食,0
已***,2,黄秋葵好吃,1679537155,2145/12/3 10:05,秋葵脆片,零食,0
冰***,2,没找到,1679537156,2145/12/3 10:05,秋葵脆片,零食,0
淘***,2,秋葵我也喜欢,1679537156,2145/12/3 10:05,秋葵脆片,零食,0
紫***,0,有茶叶吗,1679537160,2145/12/3 10:06,秋葵脆片,零食,0
微***,2,凉拌吃,1679537160,2145/12/3 10:06,秋葵脆片,零食,0
百***,0,甜的还是咸的,1679537161,2145/12/3 10:06,秋葵脆片,零食,0
v***,0,秋葵有糖吗？,1679537161,2145/12/3 10:06,秋葵脆片,零食,0
努***,2,虾，今天下单发广西南宁，什么时候能到,1679537167,2145/12/3 10:06,秋葵脆片,零食,0
小***,0,[比心],1679537168,2145/12/3 10:06,秋葵脆片,零食,0
东***,0,产品规格不同，大家想要了解更多商品细节看下详情页或回放了解下哦，具体咨询链接左下角客服哈,1679537172,2145/12/3 10:06,秋葵脆片,零食,0
花***,0,每日坚果甄选版还有吗,1679537173,2145/12/3 10:06,秋葵脆片,零食,0
灿***,2,好吃,1679537175,2145/12/3 10:06,秋葵脆片,零食,0
东***,0,大家有需要的商品在小黄车里找下都已经开价，没有的就是暂无库存，不定时返场哦，具体咨询链接左下角客服哈,1679537177,2145/12/3 10:06,秋葵脆片,零食,0
雨***,0,这个很好吃上次买的29.9,1679537179,2145/12/3 10:06,秋葵脆片,零食,0
蓦***,0,甜的还是咸的？,1679537179,2145/12/3 10:06,秋葵脆片,零食,0
星***,2,冬冬大湾区是单播还是双播,1679537180,2145/12/3 10:06,秋葵脆片,零食,0
风***,2,鸡脯肉没有吗,1679537180,2145/12/3 10:06,秋葵脆片,零食,0
阿***,2,婴幼儿能吃吗,1679537183,2145/12/3 10:06,秋葵脆片,零食,0
小***,2,冬冬 你要看镜头 眼神别飘[呲牙],1679537185,2145/12/3 10:06,秋葵脆片,零食,0
东***,0,大家有需要的商品在小黄车里找下都已经开价，没有的就是暂无库存，不定时返场哦，具体咨询链接左下角客服哈,1679537188,2145/12/3 10:06,秋葵脆片,零食,0
出***,2,里面是单独包装的吗,1679537189,2145/12/3 10:06,秋葵脆片,零食,0
龙***,0,这样做的没有营养,1679537190,2145/12/3 10:06,秋葵脆片,零食,0
矮***,2,配料表很干净,1679537190,2145/12/3 10:06,秋葵脆片,零食,0
丫***,2,中午好中午好中午好,1679537191,2145/12/3 10:06,秋葵脆片,零食,0
蓝***,2,脆脆的,1679537196,2145/12/3 10:06,秋葵脆片,零食,0
淼***,0,脆脆的,1679537197,2145/12/3 10:06,秋葵脆片,零食,0
爱***,0,专业，我还不知道秋葵分黄绿,1679537198,2145/12/3 10:06,秋葵脆片,零食,0
努***,2,今天下单虾，什么时候能到，发广西南宁,1679537198,2145/12/3 10:06,秋葵脆片,零食,0
星***,2,冬冬大湾区是单播还是双播,1679537199,2145/12/3 10:06,秋葵脆片,零食,0
用***,0,看下配料表,1679537202,2145/12/3 10:06,秋葵脆片,零食,0
东***,0,产品规格不同，大家想要了解更多商品细节看下详情页或回放了解下哦，具体咨询链接左下角客服哈,1679537203,2145/12/3 10:06,秋葵脆片,零食,0
已***,2,这个好吃，上次买的多少钱搞忘了,1679537205,2145/12/3 10:06,秋葵脆片,零食,0
??***,2,棕榈油还健康，疯了吧！,1679537206,2145/12/3 10:06,秋葵脆片,零食,0
兔***,2,拍了,1679537211,2145/12/3 10:06,秋葵脆片,零食,0
嗨***,0,支持主播，下了四单,1679537213,2145/12/3 10:06,秋葵脆片,零食,0
华***,0,有猕猴桃吗,1679537214,2145/12/3 10:06,秋葵脆片,零食,0
矮***,2,@??*** ？？,1679537214,2145/12/3 10:06,秋葵脆片,零食,0
出***,2,里面是单独包装那种吗,1679537215,2145/12/3 10:06,秋葵脆片,零食,0
树***,2,油炸的吗,1679537217,2145/12/3 10:06,秋葵脆片,零食,0
微***,2,很脆吗,1679537218,2145/12/3 10:06,秋葵脆片,零食,0
小***,2,上车,1679537219,2145/12/3 10:06,秋葵脆片,零食,0
爱***,2,已拍,1679537220,2145/12/3 10:07,秋葵脆片,零食,0
东***,0,产品规格不同，大家想要了解更多商品细节看下详情页或回放了解下哦，具体咨询链接左下角客服哈,1679537220,2145/12/3 10:07,秋葵脆片,零食,0
荔***,2,番茄怎么没了啊,1679537221,2145/12/3 10:07,秋葵脆片,零食,0
用***,0,配料表,1679537221,2145/12/3 10:07,秋葵脆片,零食,0
龙***,0,这个不健康,1679537221,2145/12/3 10:07,秋葵脆片,零食,0
***,2,南瓜子是干炒的还是五香咸的,1679537225,2145/12/3 10:07,秋葵脆片,零食,0
踏***,2,虾尾介绍了没？,1679537226,2145/12/3 10:07,秋葵脆片,零食,0
荔***,2,还想买番茄,1679537227,2145/12/3 10:07,秋葵脆片,零食,0
龙***,0,能不能别什么都卖,1679537231,2145/12/3 10:07,秋葵脆片,零食,0
小***,2,看一下效果,1679537232,2145/12/3 10:07,秋葵脆片,零食,0
用***,0,脂肪含量,1679537235,2145/12/3 10:07,秋葵脆片,零食,0
淡***,0,早上好,1679537237,2145/12/3 10:07,秋葵脆片,零食,0
嗨***,0,支持主播，下了四单,1679537237,2145/12/3 10:07,秋葵脆片,零食,0
W***,2,配件表能看吗,1679537237,2145/12/3 10:07,秋葵脆片,零食,0
东***,0,大家有需要的商品在小黄车里找下都已经开价，没有的就是暂无库存，不定时返场哦，具体咨询链接左下角客服哈,1679537238,2145/12/3 10:07,秋葵脆片,零食,0
一***,2,[玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰],1679537239,2145/12/3 10:07,秋葵脆片,零食,0
★***,2,没有了,1679537240,2145/12/3 10:07,秋葵脆片,零食,0
～***,2,没了,1679537240,2145/12/3 10:07,秋葵脆片,零食,0
D***,2,秋葵,1679537244,2145/12/3 10:07,秋葵脆片,零食,0
W***,2,配料表能看吗,1679537244,2145/12/3 10:07,秋葵脆片,零食,0
颖***,2,没有了,1679537245,2145/12/3 10:07,秋葵脆片,零食,0
东***,0,产品规格不同，大家想要了解更多商品细节看下详情页或回放了解下哦，具体咨询链接左下角客服哈,1679537246,2145/12/3 10:07,秋葵脆片,零食,0
羽***,2,导演想尝一尝,1679537247,2145/12/3 10:07,秋葵脆片,零食,0
??***,2,看下梨,1679537247,2145/12/3 10:07,秋葵脆片,零食,0
用***,0,没有了,1679537247,2145/12/3 10:07,秋葵脆片,零食,0
果***,2,没啦,1679537250,2145/12/3 10:07,秋葵脆片,零食,0
傲***,2,有酥梨嘛,1679537251,2145/12/3 10:07,秋葵脆片,零食,0
易***,0,百香果有吗,1679537251,2145/12/3 10:07,秋葵脆片,零食,0
X***,2,鸡胸肉有嘛,1679537252,2145/12/3 10:07,秋葵脆片,零食,0
矮***,2,朋友们按需购买  不用杠！！,1679537252,2145/12/3 10:07,秋葵脆片,零食,0
D***,2,秋葵没了??????,1679537253,2145/12/3 10:07,秋葵脆片,零食,0
小***,2,配料表,1679537253,2145/12/3 10:07,秋葵脆片,零食,0
听***,2,虾在哪里呢？,1679537253,2145/12/3 10:07,秋葵脆片,零食,0
J***,1,没在东方甄选买过，感觉不是很优惠,1679537254,2145/12/3 10:07,秋葵脆片,零食,0
藜***,0,南瓜子加急,1679537254,2145/12/3 10:07,秋葵脆片,零食,0
L***,2,没了,1679537254,2145/12/3 10:07,秋葵脆片,零食,0
华***,0,有猕猴桃吗,1679537254,2145/12/3 10:07,秋葵脆片,零食,0
龙***,0,先去搞懂营养,1679537255,2145/12/3 10:07,秋葵脆片,零食,0
傲***,2,有酥梨嘛,1679537259,2145/12/3 10:07,秋葵脆片,零食,0
东***,0,大家有需要的商品在小黄车里找下都已经开价，没有的就是暂无库存，不定时返场哦，具体咨询链接左下角客服哈,1679537263,2145/12/3 10:07,秋葵脆片,零食,0
林***,0,上午好,1679537263,2145/12/3 10:07,秋葵脆片,零食,0
張***,2,[赞],1679537264,2145/12/3 10:07,秋葵脆片,零食,0
努***,2,今天下单虾，什么时候能到，广西,1679537264,2145/12/3 10:07,秋葵脆片,零食,0
旭***,2,今天有铁锅吗？,1679537264,2145/12/3 10:07,秋葵脆片,零食,0
D***,2,我要秋葵,1679537264,2145/12/3 10:07,秋葵脆片,零食,0
傲***,2,有酥梨嘛,1679537264,2145/12/3 10:07,秋葵脆片,零食,0
用***,0,没有了,1679537265,2145/12/3 10:07,秋葵脆片,零食,0
丛***,1,主播上午好,1679537266,2145/12/3 10:07,秋葵脆片,零食,0
z***,0,猕猴桃今天有吗,1679537269,2145/12/3 10:07,秋葵脆片,零食,0
小***,2,上的苹果吧,1679537270,2145/12/3 10:07,秋葵脆片,零食,0
易***,0,百香果有吗,1679537270,2145/12/3 10:07,秋葵脆片,零食,0
傲***,2,有酥梨嘛,1679537274,2145/12/3 10:07,秋葵脆片,零食,0
可***,2,买了电饼档,1679537275,2145/12/3 10:07,秋葵脆片,零食,0
姜***,1,哈尔滨的啥时候能买到虾？？？？,1679537276,2145/12/3 10:07,秋葵脆片,零食,0
东***,0,@努*** 物流问题咨询下对应商品左下角客服哈,1679537279,2145/12/3 10:07,茶叶,食品,0
阿***,2,一分钱一分货,1679537280,2145/12/3 10:08,茶叶,食品,0
枞***,0,东东无奈[捂脸],1679537281,2145/12/3 10:08,茶叶,食品,0
蓝***,2,好品,1679537284,2145/12/3 10:08,茶叶,食品,0
滔***,0,怎么没有水果了,1679537284,2145/12/3 10:08,茶叶,食品,0
小***,2,有没有苹果？,1679537284,2145/12/3 10:08,茶叶,食品,0
用***,0,什么时候直播,1679537287,2145/12/3 10:08,茶叶,食品,0
嗨***,0,支持冬冬，下了四单,1679537288,2145/12/3 10:08,茶叶,食品,0
菲***,0,冬冬乖巧,1679537289,2145/12/3 10:08,茶叶,食品,0
D***,2,燕耳还有吗,1679537290,2145/12/3 10:08,茶叶,食品,0
旭***,2,今天有铁锅吗？,1679537292,2145/12/3 10:08,茶叶,食品,0
一***,2,冬冬无奈,1679537292,2145/12/3 10:08,茶叶,食品,0
菲***,0,哈哈哈哈哈,1679537294,2145/12/3 10:08,茶叶,食品,0
??***,2,梨,1679537294,2145/12/3 10:08,茶叶,食品,0
王***,2,是油炸？,1679537295,2145/12/3 10:08,茶叶,食品,0
??***,2,酸奶有吗？,1679537299,2145/12/3 10:08,茶叶,食品,0
傲***,2,今天有酥梨吗,1679537300,2145/12/3 10:08,茶叶,食品,0
D***,2,燕耳还有吗,1679537301,2145/12/3 10:08,茶叶,食品,0
小***,2,支持你们,1679537302,2145/12/3 10:08,茶叶,食品,0
听***,2,有虾吗,1679537302,2145/12/3 10:08,茶叶,食品,0
东***,0,大家有需要的商品在小黄车里找下都已经开价，没有的就是暂无库存，不定时返场哦，具体咨询链接左下角客服哈,1679537302,2145/12/3 10:08,茶叶,食品,0
用***,0,什么时候直播,1679537303,2145/12/3 10:08,茶叶,食品,0
用***,1,这主播说话老重复,1679537305,2145/12/3 10:08,茶叶,食品,0
菲***,0,过于乖巧了吧冬冬,1679537306,2145/12/3 10:08,茶叶,食品,0
ヾ***,2,今天有什么水果？,1679537307,2145/12/3 10:08,茶叶,食品,0
任***,0,打印机有吗？,1679537311,2145/12/3 10:08,茶叶,食品,0
小***,0,东东介绍一下葛根粉,1679537311,2145/12/3 10:08,茶叶,食品,0
明***,2,南瓜子会有蛤啦味吗？？？？,1679537311,2145/12/3 10:08,茶叶,食品,0
??***,2,芝麻还有吗,1679537313,2145/12/3 10:08,茶叶,食品,0
矮***,2,@用*** 你报警吧,1679537313,2145/12/3 10:08,茶叶,食品,0
用***,0,千层榴莲还有吗？,1679537313,2145/12/3 10:08,茶叶,食品,0
吴***,0,粑粑柑还有吗,1679537314,2145/12/3 10:08,茶叶,食品,0
易***,0,百香果有吗,1679537314,2145/12/3 10:08,茶叶,食品,0
听***,2,有虾吗,1679537315,2145/12/3 10:08,茶叶,食品,0
简***,2,砂锅今天有没,1679537317,2145/12/3 10:08,茶叶,食品,0
小***,0,喜欢东方甄选，能买到各地好吃的,1679537317,2145/12/3 10:08,茶叶,食品,0
东***,0,产品规格不同，大家想要了解更多商品细节看下详情页或回放了解下哦，具体咨询链接左下角客服哈,1679537317,2145/12/3 10:08,茶叶,食品,0
北***,2,@J*** 你没必要哦，善语结善缘,1679537318,2145/12/3 10:08,茶叶,食品,0
御***,2,支持你们,1679537320,2145/12/3 10:08,茶叶,食品,0
